date,action,direction,price,balance,signal,pnl
2024-07-18,CLOSE,,1.094020128250122,97513.41342926028,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00084, BulkPressure=0.00499, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0008435909050112988), 'bulk_pressure': np.float64(0.0049851715401936), 'entropy_regime': np.float64(1.0059155842240048)}",386.4169120788574
2024-07-19,OPEN,LONG,1.0901559591293335,97513.41342926028,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00253, BulkPressure=0.01032, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.0025334558044011355), 'bulk_pressure': np.float64(0.010320902011992044), 'entropy_regime': np.float64(1.0144291937067345)}",
2024-07-22,CLOSE,,1.0899182558059692,97489.64309692386,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00423, BulkPressure=0.00744, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.004228637585150158), 'bulk_pressure': np.float64(0.007438075894334168), 'entropy_regime': np.float64(1.0094778260783714)}",-23.77033233642578
2024-07-23,OPEN,SHORT,1.0889805555343628,97489.64309692386,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00111, BulkPressure=-0.00917, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0011135432507357157), 'bulk_pressure': np.float64(-0.009165888988642273), 'entropy_regime': np.float64(1.0081684198904606)}",
2024-07-25,CLOSE,,1.0839520692825315,97992.49172210699,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00414, BulkPressure=0.01354, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.004141205082313687), 'bulk_pressure': np.float64(0.013543095678681411), 'entropy_regime': np.float64(1.0063194929545947)}",502.8486251831277
2024-07-26,OPEN,SHORT,1.0851283073425293,97992.49172210699,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00164, BulkPressure=-0.00714, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.001635540744590136), 'bulk_pressure': np.float64(-0.007141204144436886), 'entropy_regime': np.float64(1.011971263506731)}",
2024-07-29,CLOSE,,1.0853756666183472,97967.7557945252,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00029, BulkPressure=-0.00491, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(0.00028731478859904684), 'bulk_pressure': np.float64(-0.004910704601225202), 'entropy_regime': np.float64(1.0115751725950424)}",-24.73592758178711
2024-08-01,OPEN,SHORT,1.082391619682312,97967.7557945252,"{'direction': -1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=-0.00068, BulkPressure=-0.00978, EntropyRegime=1.01, Neighbors=10', 'momentum': np.float64(-0.0006828135739872677), 'bulk_pressure': np.float64(-0.00978092553716536), 'entropy_regime': np.float64(1.0120957199167304)}",
2024-08-02,CLOSE,,1.078760266304016,98330.89113235482,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00037, BulkPressure=0.00720, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(0.0003724941745206933), 'bulk_pressure': np.float64(0.007204878368537355), 'entropy_regime': np.float64(1.0202682133289513)}",363.13533782961207
2024-08-02,OPEN,LONG,1.078760266304016,98330.89113235482,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.00037, BulkPressure=0.00720, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(0.0003724941745206933), 'bulk_pressure': np.float64(0.007204878368537355), 'entropy_regime': np.float64(1.0202682133289513)}",
2024-08-05,CLOSE,,1.0910836458206177,99563.22908401501,"{'direction': 1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=-0.00325, BulkPressure=0.00476, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(-0.0032501869813599538), 'bulk_pressure': np.float64(0.0047631796289396055), 'entropy_regime': np.float64(1.018714559292428)}",1232.3379516601785
2024-08-06,OPEN,LONG,1.0950982570648191,99563.22908401501,"{'direction': 1, 'confidence': np.float64(0.8), 'rationale': 'Momentum=0.01103, BulkPressure=0.01503, EntropyRegime=1.03, Neighbors=10', 'momentum': np.float64(0.011028129705601335), 'bulk_pressure': np.float64(0.015027162508674056), 'entropy_regime': np.float64(1.0270738992655521)}",
2024-08-07,CLOSE,,1.0926215648651123,99315.55986404433,"{'direction': -1, 'confidence': np.float64(0.2), 'rationale': 'Momentum=0.00312, BulkPressure=-0.01124, EntropyRegime=1.02, Neighbors=10', 'momentum': np.float64(0.003122721839892556), 'bulk_pressure': np.float64(-0.011237640169361829), 'entropy_regime': np.float64(1.0172260071727721)}",-247.66921997068093
